Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AlthayAXcL6goLBgbh,11/09/2024,15:09:08,Card payment,Thats Shoe Business,👞,Shopping,-3.50,GBP,-3.50,GBP,,73 Leather Lane,,THATS SHOE BUSINESS    LONDON EC1N   GBR,,-3.50,
tx_0000AltqBnLPcpn2eCV44n,11/09/2024,16:45:26,Card payment,Pret,☕,Eating out,-5.50,GBP,-5.50,GBP,,3-5 ST JOHN STREET,,PRET A MANGER          LONDON        GBR,,-5.50,
tx_0000Alu5wvympvUSKx9KJl,11/09/2024,19:42:02,Card payment,Chiriac Music,,General,-5.00,GBP,-5.00,GBP,,Abbotts Park Road 12,,Zettle_*Chiriac music  LONDON        GBR,,-5.00,
tx_0000AluCj1UuDu8PE7vUMD,11/09/2024,20:57:57,Card payment,Apple,🍎 ,Bills,-8.99,GBP,-8.99,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,,-8.99,
tx_0000AlvT8mdJu60ipyyPXV,12/09/2024,11:36:36,Card payment,Transport for London,🚆,Transport,-6.00,GBP,-6.00,GBP,"Travel charge for Wednesday, 11 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-6.00,
tx_0000AlvTCcjwd06LAv7D61,12/09/2024,11:37:18,Card payment,J And R Kiosk,🍎,Groceries,-1.30,GBP,-1.30,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-1.30,
tx_0000AlvTutL2HGiAmHRZJa,12/09/2024,11:45:18,Card payment,Transport for London,🚆,Transport,-5.80,GBP,-5.80,GBP,"Travel charge for Wednesday, 11 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-5.80,
tx_0000AlwDBcei3J2bc3tb1t,12/09/2024,20:12:33,Card payment,Cu Convenience,🍎,Groceries,-1.59,GBP,-1.59,GBP,,347 Archway Road,,PPOINT_*CU CONVENIENCE London        GBR,,-1.59,
tx_0000AlwEMZ9DXEf4xwdNPF,12/09/2024,20:25:44,Card payment,Turning Earth,📷,Entertainment,-20.00,GBP,-20.00,GBP,,361-362 Whiston Road,,Zettle_*TURNING EARTH  LONDON        GBR,,-20.00,
tx_0000AlxQdT8oVt970vRclF,13/09/2024,10:17:57,Card payment,Trainline,🚄,Transport,-5.25,GBP,-5.25,GBP,,Trainline,,Trainline.Com          London        GBR,,-5.25,
tx_0000AlxVWm0WTDSC2FrLyU,13/09/2024,11:12:46,Card payment,Trainline,🚄,Transport,-5.25,GBP,-5.25,GBP,,Trainline,,Trainline.Com          London        GBR,,-5.25,
tx_0000AlxZQI5vAlNtKrl7cP,13/09/2024,11:56:25,Card payment,Pret,☕,Eating out,-5.50,GBP,-5.50,GBP,,47-49 Tooley Street,,PRET A MANGER          LONDON        GBR,,-5.50,
tx_0000Alxa6rvwJY5jayblpJ,13/09/2024,12:04:07,Card payment,Pret,☕,Eating out,-3.90,GBP,-3.90,GBP,,47-49 Tooley Street,,PRET A MANGER          LONDON        GBR,,-3.90,
